Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	NoiseLevel	Sample
3e-05	0.00227	4.4631	0.00302	5.391070000000001	0.00494	0.00577	5.36388	2.46712	4.33561	0.03626	37.25461	8.037129999999998	11.9112	2.4995	0.00235	13.39214	0.00059	2.19612	3.76286	0.3932	0.56211	0.00318	0.00437	0.00204	5.21152	12.30876	0.00438	4.272111785714285	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_981110_5
2e-05	0.00142	2.52749	0.12229	7.430769999999999	0.00707	0.00549	34.2529	4.43367	3.52491	0.02148	5.8807	7.000860000000001	9.92101	6.87073	0.00168	13.8931	0.00038	1.19444	0.03161	0.62015	3.93086	0.0017	0.00417	0.00084	4.18134	3.26702	0.00236	3.8975164285714277	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_705318_4
4e-05	0.00087	2.83999	1.42616	17.237130000000004	0.00455	0.00475	25.69292	3.51674	1.03181	0.00056	4.8998800000000005	0.01746	5.19551	5.08954	0.00112	15.84236	0.00033	4.73284	3.54603	0.37696	2.88792	0.00227	0.00182	0.00131	5.82132	2.57896	0.00084	3.6697139285714284	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_10767_4
4e-05	0.00209	5.26986	0.003	7.36675	0.02828	0.00509	0.20044	0.62884	5.03963	0.0967	7.58493	16.152770000000004	11.64898	0.41734	0.00939	8.42661	0.0004	1.61041	9.25052	0.19403	0.09227	0.0015	2.1409	0.00108	2.64704	1.71867	0.17241	2.882498928571429	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_564750_4
4e-05	0.00294	2.94552	0.00585	10.16158	0.00605	0.00454	15.41323	1.96655	3.6213	0.03375	20.44632	8.402440000000002	10.90836	4.1173	0.00285	13.35107	0.00046	3.05621	0.07386	0.35731	1.5164	0.00213	0.01265	0.00127	5.09293	7.33926	0.00499	3.887398571428571	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_922981_4
8e-05	0.00225	4.61692	0.00897	2.63345	0.0063	0.00435	3.10401	4.53387	3.58991	0.00191	66.65363	1.5576900000000005	8.99623	2.60475	0.00154	16.46208	0.00247	1.82609	1.1448600000000004	0.25653	0.44396	0.00147	0.00174	0.05279	7.27001	24.40861	0.00092	5.3638353571428565	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_642390_5
2e-05	0.00168	3.22783	0.32013	18.45513	0.00285	0.00547	18.262500000000003	2.25379	1.35131	0.00162	5.97453	2.17174	6.21704	3.99048	0.00142	14.85557	0.00032	5.44055	3.4886	0.28615	2.03434	0.00288	0.00266	0.00142	5.80636	2.54704	0.00158	3.453750357142858	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_978017_5
3e-05	0.0018	4.3427	0.01365	16.236890000000002	0.00979	0.00803	10.12221	1.60583	2.57232	0.02384	0.0099	7.915930000000001	8.69165	2.58514	0.00296	11.97557	0.00028	4.29263	8.08138	0.26048	1.05904	0.00177	0.03074	0.00137	4.3179	0.50946	0.03955	3.025458571428571	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_779480_4
7e-05	0.00138	3.23528	0.01832	3.39348	0.04281	0.00528	34.05921	5.089	4.31859	0.03608	6.02197	8.73601	11.47595	6.65562	0.00148	12.47541	0.00032	0.30006	2.91504	0.79978	3.9966	0.0025	0.0132	0.00103	3.3956	3.25577	0.00566	3.937553571428572	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_214487_5
4e-05	0.0015	7.34323	0.0401	3.02785	0.01119	0.01209	18.11563	4.84976	3.46862	0.01291	0.00113	3.9707	9.73848	2.56062	0.00102	11.89955	0.00042	0.41484	21.601040000000005	0.82942	2.45612	0.00181	0.01032	0.00269	2.78301	0.27182	0.00458	3.3368032142857156	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_97781_4
